"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
1296.03452869417,5.94527912353669,0.203982202419721,29.1460679069612,9.36978432781568e-187,1.32371628091216e-184,"ENSB:w5iQN71ZoRF4xT-"
960.746578409735,4.22609048032494,0.146016503586707,28.9425535916591,3.48217938197885e-184,4.79946236282012e-182,"ENSB:hiNlCkVzVPQJvXt"
1958.96805495432,7.08719818096672,0.245025333301302,28.9243487009229,5.90037777277383e-184,7.93881780808212e-182,"ENSB:_FIWLwCSED5X5Fd"
6647.10957500694,3.63002879186705,0.127127897148299,28.5541480138895,2.49485580432679e-179,3.27870468610481e-177,"ENSB:RbqhH9wvY4GuLLp"
794.561501384618,3.76951081197152,0.133282148030939,28.2821883325027,5.72371492596096e-176,7.35107114695577e-174,"ENSB:sBqOYcRBKzA-qpw"
2246.7786426022,8.19171804443972,0.290293196206587,28.2187738172481,3.44100183889931e-175,4.32113364258223e-173,"ENSB:7MC-vLQgyfeXHli"
929.605439490106,3.8361272700959,0.136724800522805,28.0572892074256,3.25494747957736e-173,3.99863221893297e-171,"ENSB:1G73T2wKasnHQNb"
3834.5197326444,-2.81581794253313,0.100367676340544,-28.0550277260496,3.46844033622948e-173,4.17024602979421e-171,"ENSB:h8v0qcR39X2tOOl"
4649.5058383177,2.02056032257375,0.0728018534979257,27.7542428590959,1.54868825551431e-169,1.82325777748154e-167,"ENSB:VUxK96zPgBtdmN_"
16520.4775929342,-1.90356862267333,0.069105926881893,-27.5456637160322,4.98765397291407e-167,5.7520882859056e-165,"ENSB:IsNyWxNSHM7N23E"
1047.6514946935,4.9779600960591,0.182189573882516,27.3229690919037,2.26320317612763e-164,2.55787222965945e-162,"ENSB:rRNP7WcRRF1SuKm"
1020.48801345137,4.11371501712327,0.151818743424798,27.096226225591,1.09080822357987e-161,1.20865828851958e-159,"ENSB:SC56KagZgvd4I3R"
1376.03708933373,4.13262859795906,0.15336019016639,26.9472057479539,6.15104934761596e-160,6.68453458911111e-158,"ENSB:ggUHY9QpvvFNVAx"
1253.01513797634,3.60139503737099,0.133968145329159,26.8824729081856,3.52087692975964e-159,3.75405198680598e-157,"ENSB:9dSRut5BT-3osPM"
1533.47866607197,-2.60609550835543,0.0973915089990868,-26.7589601510319,9.71254217950364e-158,1.01639955289583e-155,"ENSB:LrMpEJ3pzan3Dar"
1333.61550002349,5.9131467747569,0.222684724680544,26.5538948988966,2.31553612204734e-155,2.37910811376173e-153,"ENSB:kqf3KzqdItk7eER"
990.413284758265,3.07620364350863,0.117285578037503,26.2283197557759,1.26350669677455e-151,1.27501363276303e-149,"ENSB:SOfkOo3OWrcPXPA"
742.632177949818,-2.800009787945,0.107935730065095,-25.9414541065905,2.27040697636967e-148,2.25088944271316e-146,"ENSB:CISJ8ZpsR1LHyZU"
2761.80777176743,-2.51881197461309,0.098264857513339,-25.6328868565364,6.56144231270115e-145,6.39288112225417e-143,"ENSB:-QZUGrq4XJGjyS-"
12327.096154643,3.93464116615305,0.154536269844701,25.4609559950367,5.33908359858235e-143,5.11375617213371e-141,"ENSB:81Oano3XyVTXqwV"
545.342809829817,5.42309280882871,0.213788497364571,25.3666257805292,5.8911878590536e-142,5.54851709858532e-140,"ENSB:x0VP2UKWUqJceCQ"
1399.67754736976,7.54751283961112,0.297771224172754,25.3466830469568,9.77592485764617e-142,9.05635268369812e-140,"ENSB:Hx91Ox0vcHozuND"
1270.50740580626,6.09465549927979,0.240639582937024,25.3269035164293,1.61488823526935e-141,1.4718924866947e-139,"ENSB:zwlov3t1alL_3LY"
639.321891423698,3.66995588890508,0.146632413297167,25.0282717605383,3.01066714991718e-138,2.70052064510825e-136,"ENSB:1wV5pkZHfZCRIC2"
675.777611762183,5.30015444397162,0.212328428590322,24.9620575028981,1.5797293696108e-137,1.39485166682354e-135,"ENSB:SICnEPFInbloQcz"
1149.28477354448,4.76439990077994,0.191090361273452,24.9327065427546,3.28923799929176e-137,2.85961291292273e-135,"ENSB:A06-SQyExeFxp8r"
520.655288475581,3.86512830297421,0.155034253034601,24.9308022409189,3.44943223944979e-137,2.95344569471678e-135,"ENSB:NrpzPU7_Y_qI2DB"
1548.51050168855,-2.02852046949001,0.0816097965097637,-24.8563353450748,2.20858753410947e-136,1.86279524705263e-134,"ENSB:CyvZpchCOEB0VNN"
1247.33128003772,3.97230774339577,0.160802390641233,24.703039100074,9.92014457859585e-135,8.24393191377135e-133,"ENSB:V5ACC8CZOK-RlZb"
528.263861490616,5.03727341674268,0.205913820673123,24.4630175880185,3.65830375911547e-132,2.99609775982051e-130,"ENSB:dKLH-6cfsK0pQ5_"
947.058300895888,7.75061383832503,0.318910725950864,24.303396554681,1.80475824112274e-130,1.4569555457978e-128,"ENSB:NR_TvtUUCqq098c"
779.302210457991,5.46877381965634,0.227932131795283,23.9929920217134,3.29099827793652e-127,2.61935651670694e-125,"ENSB:KF4Slmriq5enCCo"
548.427801418564,3.7968783176689,0.158456272573477,23.9616788657467,6.98174185659328e-127,5.47969767105675e-125,"ENSB:wEP_ZoFIel2W2RC"
674.084277609791,3.60780285209559,0.150806860522686,23.9233337236197,1.75135217447676e-126,1.35573851205044e-124,"ENSB:GJrIGVaLEu782Dz"
1228.48591037907,-1.99198593768288,0.0835793349775011,-23.8334743656324,1.50268160644803e-125,1.14752077811322e-123,"ENSB:ZnpcE_O8Nz1GJSr"
2728.3669188237,-2.24788809661439,0.0943258095161411,-23.8311031534771,1.59020320652089e-125,1.19816510933994e-123,"ENSB:XQpEMm4uIXVY38M"
461.78201312188,3.09602716641564,0.131339969460766,23.5726198135024,7.36025942325301e-123,5.47274026326352e-121,"ENSB:llhh0M6s-S000KX"
1280.24377945019,-2.78023969497629,0.117949440004843,-23.5714531146746,7.56585957186555e-123,5.55255486241717e-121,"ENSB:RT8w4MOS6XNkXhz"
4732.85867969668,2.77191346241707,0.11779684237519,23.5313053094272,1.95090946686079e-122,1.41340889708081e-120,"ENSB:pzII3ag8stTiggF"
405.417691162645,4.75152305794305,0.206997795639209,22.9544621152624,1.32977884107293e-116,9.51212687456095e-115,"ENSB:jnnF80z-aJGte5J"
3843.90530485994,4.14686681105597,0.18067962143745,22.9514915852953,1.42379249196239e-116,1.00573142150993e-114,"ENSB:7fFmPzgf9Efn7sz"
980.901641659394,2.28040361221349,0.0996301609000514,22.8886874377447,6.02266930318843e-116,4.20174126324911e-114,"ENSB:fKu46lfy-_vBs6g"
6944.08545226146,-1.97944281604861,0.0865715233337188,-22.8648259823059,1.04066224021537e-115,7.17168575543547e-114,"ENSB:4-Z49quJJOecgD4"
2961.29529108527,-2.25522172980148,0.098976480786288,-22.7854305576998,6.39510739859939e-115,4.35406649511869e-113,"ENSB:iEtr7WTTPdF1UFZ"
2181.79835654387,1.84458913825494,0.0810789588535098,22.750528180655,1.41783610211186e-114,9.53832358694537e-113,"ENSB:nih16s-P26eEAZB"
779.115412314143,-2.28945501456768,0.10064187175334,-22.7485337333434,1.48377855616814e-114,9.86450896577195e-113,"ENSB:3C3PMGmIIOCQTFu"
655.413548900486,3.71464374620225,0.164853028591884,22.533063407639,1.96859909306603e-112,1.29355272964141e-110,"ENSB:I5AU8iGXlSlY0UI"
