"","SRR22355218","SRR22355219","SRR22355220","SRR22355221","SRR22355222","SRR22355223","SRR22355224","SRR22355225","SRR22355226"
"ENSB:mrVBRvs2R_ffFIA",134.996704137847,148.646290747284,136.870426441334,203.075163054649,196.534587158528,199.407522966039,203.358644833548,199.590359678764,152.859207621776
"ENSB:3nlnok7cb4pNpet",224.335465086281,78.8945837870655,225.440351139687,132.916268433472,90.9955482010757,119.736553705229,75.950308649673,68.5260929965349,46.0139857275037
"ENSB:Piyzz1ofK7ZIuqu",14.0979967319229,27.890209846432,25.9496227297781,18.2258435036678,23.7332927311206,19.6582241179124,38.1005999512102,41.828363752197,36.0250702905563
"ENSB:Q2FX-Knx574GAbc",108.045430823037,77.4475814853546,104.200495107399,160.700397397016,149.465944601377,157.60589504301,80.403053394294,83.4579159409302,92.0976974811301
"ENSB:awOttdBsBXQymaO",1308.08577488621,2294.32431422726,1493.60813285067,2429.34184176375,2675.98615985339,2844.59611587819,1655.11597818365,1946.94683293054,2083.87533801146
"ENSB:ORuzdRUAJXzKD8r",484.369563373696,677.082295813456,526.798330284823,658.964650068122,606.734552799988,701.71707692901,524.23400642892,571.293129916024,520.04180148608
"ENSB:3OxY3C2iHar8Fej",253.922602270046,325.64570668402,309.786911115796,296.615013351416,272.766701301894,260.593482664691,333.856749872415,356.638442836548,239.422583340324
"ENSB:JEPjMar1OIJU7G4",503.760820571122,588.342843157301,496.514907870553,533.049338566896,538.617391097556,505.924889020431,436.902419226746,437.044491125324,420.228488766778
"ENSB:_rWif7LdayK__Nx",657.548400313614,702.269217479236,695.748388795962,824.786293459706,739.922343143601,701.266878001277,783.334565764811,778.419267325404,693.258265177418
"ENSB:XQ3IjufbsDHA2cS",22.8036790025619,7.93275286481482,20.675403605429,8.13331034593052,8.41005380681785,8.14776553170944,7.33156498880288,3.68942488540668,7.29849382464251
"ENSB:YUx1kBoHzUGGeYd",27.392165032344,29.4594639088983,20.4813229783892,27.5968014045444,18.581675723339,17.8258108061366,30.2989804432327,17.4508187795949,20.0140038561406
"ENSB:gDcgBYfkjHT22mf",392.197262639425,143.878291879224,331.076735125282,219.277389012724,187.956498063882,225.207428407099,200.895469916273,192.05747994829,98.9828283329431
"ENSB:aGAySoPW1vmr4H1",386.370880792947,373.68613273378,404.867595201616,556.818676677693,557.113794485809,594.415761660318,389.493900779153,384.803638320724,330.622617557002
"ENSB:uYzNsWrNFJd0VcE",101.2966969645,64.0957851844117,103.225478685258,62.2070763496238,69.6509977098449,72.9220160822934,67.0494670435325,59.6964330199361,79.0878493645425
"ENSB:DLSWyYNJEIQ9qE_",20.1234371943107,13.1160323274779,16.5695621210461,3.55824875636315,7.43129920084036,8.01406074338144,5.50977310782818,4.59218389221375,1.25276703671955
"ENSB:kZUFyNqDeFHGxc9",914.544804803498,578.321340964259,868.775860909636,555.782015018132,530.714289031261,628.348079935339,533.793764131869,508.340710785296,346.556734003537
"ENSB:33kwnz_ZgpZDDEn",371.395893040968,210.113089331447,344.576147815195,146.413602535717,146.308590259148,154.049555923144,134.801760597194,161.903149802017,111.792171469393
"ENSB:wJFKscI1tOvT2XV",59.3330768455828,67.9372465658362,58.0972362651659,59.8919898814472,70.2189606591482,63.4695155479144,96.1610867654219,82.2961498834784,90.9200460666972
"ENSB:VG3UdrGYSq2PL05",309.190837768073,406.885885018686,360.119768757414,501.478793470008,493.88102548552,528.596958403171,306.436167659201,323.403892633605,341.102639104614
"ENSB:jEpOkP-X4rT-QpT",46.8461382940479,17.9115682441297,28.3359115428755,48.1752479349322,32.5359713536042,47.3691530283862,78.9269809731442,57.8700340553661,51.0589674081492
"ENSB:WJlEcA1jOfXc9Zr",231.32066513445,222.198607492241,223.600388362282,387.331616003057,311.942870342036,352.469825985546,219.197494491189,240.854089045711,198.472617964401
"ENSB:0KwOUJwDe-cjzxf",475.054686431988,566.208600015951,482.184332708218,290.255286023053,341.391846517328,344.943558613781,339.219024684514,313.128525154983,406.491942119342
"ENSB:vGL2ttpjd2XZh-6",902.801107955077,1020.35753776285,828.734726936991,992.750215298958,974.083053079807,1022.01329293365,944.813970543955,1031.04841887902,1001.6741466584
"ENSB:d5tQcdFSdJws-NW",49.6711226758105,46.333218370027,63.1410299116886,17.7234389727242,34.3369612154787,24.810054009921,43.1942698932045,56.0172487498862,36.6171837586127
"ENSB:wbddQ9nAiyCY6ZX",88.8010513699134,49.7818787173643,60.1654820519115,66.3864363595293,57.5208642304534,60.1639012303067,84.5704867788566,88.1543855375297,75.9395129228567
"ENSB:D2VgP4eXUL_g4-7",51.0091564697293,42.113492308056,46.0063745620629,103.729436473957,138.600963875271,124.591120753155,76.1465527566609,61.5594508287017,75.6076583867116
"ENSB:EmNzQDkshXUzCup",487.361245989419,456.615500680794,467.041356194837,156.045383431598,183.238275393602,148.597720235709,169.0825365705,154.837494667868,208.405160719679
"ENSB:3l6vA4gxA5MzJ6W",30.6805560895065,26.0736380640318,29.3050144689544,44.5913815436325,33.4626806670939,41.9884686657085,40.3838509603089,45.0092445857644,38.6320451625109
"ENSB:RKpGdowqBPQLxiI",281.415773241463,187.758314123435,303.593438546069,82.2747457248493,81.6313157394824,85.762523628352,96.5312948276701,92.7437610118436,88.6947238072571
"ENSB:lxk8vZ_7ROpGXEc",119.265051777244,117.781992828349,102.423933844779,117.532841392645,111.495294109738,137.293740546358,146.898466043988,91.8472046715304,116.283762253772
"ENSB:nb24qr0p5kbDrmF",1700.2304452187,2504.00599431835,1922.5683733118,2154.98603592038,2092.09101135849,1873.58385827616,3363.80280292337,3497.24224533803,3993.09665417152
"ENSB:c1rBvvp2H3WWtki",131.561448672245,104.501170382538,114.781244295853,77.1643845290488,57.7479545124987,85.4863213947172,106.383802857031,131.487909374862,124.340092771879
"ENSB:arYZfDR0kTYM1yK",215.588293598113,309.576281345233,301.856369859432,279.161276438226,236.102240123501,254.632066852003,359.778541408568,331.6002425383,317.737176204637
"ENSB:EWSa-Y4B4CATLRT",283.848284146109,282.401348273916,270.638563761958,192.877851313426,179.964402275686,173.315011692479,164.559613788335,180.896955892847,127.948152077152
"ENSB:lnhsqhU-Ou1FOPT",50.3361346827662,40.2236438018565,69.6407625617498,75.3413279417775,54.9457076152693,55.7686317963155,56.862768886617,43.2118396342898,44.3498852753555
"ENSB:20PoWb3IfhkXvnX",172.980629223826,179.179197606044,231.498970599472,76.9280612952414,74.4195743193684,58.7915301252054,51.0861219659048,40.8589286922836,29.1477548869203
"ENSB:SQ-K4taHt0bMUC1",43.4666243397111,8.19752020467372,16.5695621210461,28.4659900509052,29.7251968033614,37.3989501357801,32.1403431289977,25.716229796397,35.0774770281474
"ENSB:ddzVF6ol-Yx97g-",2.3999164516781,0,3.92294533699514,0,1.88502942096923,0,0.911603710546436,0.928711021608065,7.28823252792654
"ENSB:ZJgGMcAqsq3drEk",808.97195045729,707.367896861312,861.8480182473,1305.94467859096,1190.790363202,1111.84175389249,815.366477348774,793.284201759049,741.380489996245
"ENSB:qlPqEJtesEmh28A",1016.52818071839,767.997215881665,918.862198155921,1384.94604753322,1362.30724177041,1371.46238091201,871.255885280918,812.706157284536,783.013911704244
"ENSB:nCK4XIrJXP4Ohe-",74.1118272832176,47.5580822814865,64.0048603823465,39.7889138724736,40.1919628317374,39.8470130975124,43.0652027859891,54.4318748884385,36.468614456067
"ENSB:GAtCQeJ4_UwI7-4",50.4799120335488,46.3194173831823,38.8602351633496,15.0667701201749,33.4099672371927,18.6104743144454,34.922142088999,48.6709477721301,23.984513962824
"ENSB:42gdMhvq25a3puh",84.6915407771327,22.289598943671,51.1448223638064,56.8092054974441,54.1361785454076,52.4384648743616,72.4097004984762,63.5743308306734,51.2516598817266
"ENSB:tW5cfvoj7xbvxma",72.7374734389017,76.4634886715867,72.7353355010932,94.6444772453635,86.2658118561371,81.3244315687112,81.8245263650217,93.6613862883475,82.3875712734055
"ENSB:qoKUTlrA6aXqh4l",1516.42941605735,2316.93645119924,1625.7549262081,1985.83361073345,1964.16869149668,2282.44924646425,1927.56881371103,2075.31908443774,2124.07833258208
"ENSB:7MzttmNiuNQOL1S",7.32499616418296,6.38318359940025,8.8471593738044,7.20464770793042,7.46299368060797,7.22475533654845,16.5024007656737,18.4170095222667,12.2279505257706
"ENSB:My7HgfdjrOOP1-r",20.8186684002896,14.9085359533151,17.4784932937536,8.8578751930514,12.0630167101916,12.3981082827902,5.51465531989405,11.9379058134564,24.0120138163297
"ENSB:6j_uW1IRLYT-HYj",1770.50345740114,2747.97550106394,1928.41674490671,1123.04810982577,1177.27365258301,1221.2052646655,8653.9579933347,8148.74797000529,10125.1957267578
"ENSB:VYEnacOBItHo_RW",332.387654755372,314.401309034171,356.790540185866,366.081571409053,345.036107296836,334.004991187579,758.533257293056,682.250314457645,668.397950213836
"ENSB:S42UOx0mlNOJ9po",1109.07800681175,1398.86861692331,1159.60966211011,1618.25031230243,1714.99507031613,1779.68262629243,1563.94519280288,1518.76695211596,1590.32839815501
"ENSB:Uh5Q0tZdEqFSNyv",1832.16757323491,4303.98240623049,2024.46159825674,4237.23107304314,4866.00971019799,5069.82271306651,3062.60243389131,3780.58737430394,4702.66797479229
"ENSB:BdWPvwtA8utdljw",30.7068171715779,16.267149411984,43.985304988757,38.3783448912053,33.469390440974,32.1923236954064,35.790037068975,32.1510777703047,22.3963271722316
"ENSB:O-mJf3WbinvR_wz",34.0693146744144,43.5969115142217,45.8292543782346,53.185341296893,47.306427177506,46.6436741520168,22.6590141252861,23.1957620282718,35.5216404579894
"ENSB:zazZmn6Q85bUJnd",5.54918156562147,3.20688596188806,7.80348074522308,3.67449465251481,2.83682860002337,2.69941474490666,5.45103046514832,7.43115247523898,2.44543333562868
"ENSB:eIJbx8ET8D-x6wH",12.6696934791984,6.48892224765936,7.79512292391762,9.14910570803908,4.72917384919762,5.37005066252353,3.62133546562301,5.56534252506388,3.68518335826868
"ENSB:CVCX2wc5rcawz_L",83.0671535761417,77.883530196466,69.8653944076756,104.703006405322,95.2567521622641,95.9011329004435,58.6595723399692,52.541576857787,43.8650097538849
"ENSB:Em1kAH7tKbeSDYp",0.774703262538909,0,0,0,0,0.888110374825064,1.82470548959584,0,3.77542585501909
"ENSB:VOru7NEpGexzM29",585.459609002586,699.391858863269,596.494965928175,797.363673085296,812.212595159311,837.039460883965,940.846810937994,986.128355929838,970.520158679406
"ENSB:9FxOdVb2XhmXoVp",584.769036636046,485.240666977333,530.565516130393,1029.52289105392,1058.81346776443,1136.85967268127,746.135296874026,698.114696540924,610.216927560807
"ENSB:Iyt4MXiCr9adNPt",988.91901650858,1072.05146012314,959.751221463178,1361.20303710212,1354.52406277903,1467.41088686704,1226.28152356983,1313.49570828203,1302.01456404145
"ENSB:p027PTkYOm7cBXG",1046.31703559413,1309.07331553789,910.128194619885,1385.26764959401,1530.72711593847,1467.43442960101,1494.54239230233,1425.01145787811,1412.28566008057
"ENSB:VYtG6N7evaOVXM9",1257.80681562246,1033.68947592457,1210.93472962117,1074.26305856203,1064.53765785834,1041.42762044362,1052.94813846076,1052.25927191025,879.338942092665
"ENSB:1RBm9FaZ8KG_GSj",339.517097164192,308.523765481423,325.759276053288,366.170044951994,401.477373643228,377.141923366351,357.656031981275,390.816202257715,335.930439045819
"ENSB:ZMsVupu7ef728QO",100.36522389031,39.5418849393778,101.185874894192,83.4494739388627,78.9176386864088,83.4830414392687,86.3563481597333,79.8986128433341,69.1909111220995
"ENSB:0dd8hpgldg7Un_i",331.202272165184,263.373622852281,308.247267570954,414.036145815001,369.792725463965,354.824082710717,314.913586581799,267.275365594153,240.069702717464
"ENSB:8bDcW0OQsJVllrp",208.015667482742,198.994048039232,217.906550641494,128.414145884934,137.906370456351,145.007429651919,154.97791833695,156.363570152488,142.571460338047
"ENSB:01aGUw8F1qOk2HP",126.657712440788,179.546873308276,129.842807641763,142.593794331882,153.34189757,156.201433700164,184.508568720378,171.763365473447,205.914354378845
"ENSB:k7yeZhcrHURUQFs",365.527156866896,337.39528932776,328.981441222327,391.673711826417,396.488310414096,348.338308561335,293.952023595742,292.965966852759,230.009885573021
"ENSB:wv1wwOnLUaPopVh",1826.82868923288,2120.9264068891,1988.40942263642,616.144279723862,736.531752085826,718.991787449523,750.328715769036,900.052064069713,810.167515576574
"ENSB:-UPOOuxAvx9WOfN",83.6553159953687,42.6852141906277,70.1424135874131,48.8984141150925,37.1512747589382,44.4898208642023,51.4304875717362,44.084141603152,52.6776663322794
"ENSB:h9_FDZ3fq1t5Ard",328.628383275397,553.16101680713,400.626204843192,226.501013327602,305.198134522664,246.711764810892,241.782630054119,275.477707901866,286.29395901115
"ENSB:G8heqtYzL9wyK0j",4097.5994593516,2971.29267694327,4784.98670905459,6487.14789769996,6318.59277314735,5374.94533589582,3884.84273243216,4172.10352637728,3709.84656713243
"ENSB:P-1agpgsNs47MJk",298.895550582065,204.715784071039,265.802464211559,430.980037816088,428.867642104536,382.006567159569,158.555683557316,123.586293708271,107.068929198859
"ENSB:yE-eLMhRCzwV2LN",260.884528775473,244.248657874497,272.611011050423,250.689716105851,266.794965099554,269.021038897061,219.343586657924,180.040105950028,184.310418936734
"ENSB:EhK9Plw-LHQpjrz",93.1363438941155,77.6989807602198,106.718868149522,88.5530605095971,85.5867251553442,95.9420952880133,87.1512028416766,69.8314468320545,71.8485882793686
"ENSB:h0hZ0v-aBSSIEnv",1555.08162384666,1856.43710839157,1703.14150127754,1989.23246723347,1912.96797086853,2113.01195438288,2505.26234236555,2510.08582621417,2145.67848057683
"ENSB:IPiNq4ufLtFN6Q8",351.790630270037,476.816950883327,383.145450772431,827.210689151463,843.224725950729,705.595154514403,579.182088810484,529.834198809364,622.068358007256
"ENSB:w5jI-LMna0cm52u",26.8006422982254,12.632434874466,19.6909491299609,9.98918443839459,14.0489143594489,12.6951927298398,26.5588395101633,24.0584966221365,8.48255515678026
"ENSB:6JWj_k-tUOlJ--k",549.287944672162,625.730035676841,557.169850897126,876.483342023068,842.372798104412,870.051037244241,577.692379331464,595.133105431321,656.166341966863
"ENSB:C4pO2ArExoTO30M",27.2634019068457,11.5629257948707,12.6363102988908,31.0385086321993,19.4920990619769,23.0593966288024,84.5377901138605,90.915674649355,112.209313949313
"ENSB:CRfGc1At_dn1HHN",40.6188310744849,18.954730962024,37.4109491153969,12.7082933485552,7.49127698570558,17.2294900672917,19.2343964159297,19.4258888866886,29.0895870753389
"ENSB:i60sZ4KJvPJUSiQ",259.466896159146,162.295188680512,234.039762442581,401.304662259202,385.099013840285,393.251213648545,363.040150046956,315.896643825345,221.114580081441
"ENSB:y5c7a_DXTDZQKHn",358.734454134331,447.531703610096,384.891397317411,126.442610145713,172.516014656219,162.57477283668,146.191417450308,154.263572274788,148.406120863869
"ENSB:HFxQBHVLZa-ZFnC",136.299445534863,120.615344856657,137.042715169062,165.817021643926,164.286246913164,164.054460888649,282.105041964553,234.175847885798,257.254097043703
"ENSB:wXJFsb0abJ6kESn",485.194218833373,612.377935187557,545.651807194222,515.395050068084,496.674901179202,563.713882541186,359.028131874486,451.52747452869,349.556174437728
"ENSB:yl5CHdP_RUJtnjw",11.8866212246113,14.5058896923715,14.6395312205346,4.58663927756564,3.78361645087567,8.97470170143281,3.62848157271624,3.71097591169765,3.67224396153141
"ENSB:LFKUjMv_C4FIUWw",194.191633034469,162.231839049535,161.427603242182,234.121348044037,209.249999700017,209.557885502862,193.594761360875,182.822420066922,161.359964006026
"ENSB:62CwM6Ih7vZLUZg",290.402358055593,70.9682244588758,207.106117162075,301.623968501829,289.622672273913,302.570993817773,219.598255066444,168.976749129157,147.403422415794
"ENSB:wsWnOZdrE2oJae1",26.5482854444315,26.2604119897132,31.1775206182521,16.8941168369814,18.5762191586211,18.6885189252575,18.3676268158743,18.3684605846597,25.0786225114942
"ENSB:jp4VY6oHAkWIa7I",370.489507291666,542.567374247768,404.684933987647,707.407411134775,609.591874665607,636.533841542975,367.82522709217,408.040571085843,375.750291515841
"ENSB:En0QoDfwY2sM_7b",7620.25059445604,5933.89539640842,8192.34434314436,11344.4386078069,10435.6213078761,9157.37908837936,4853.93808077538,5276.78613340709,4109.80550813308
"ENSB:veOibhsZg_zBz2V",407.883372644987,166.942363981592,390.638444118558,311.559491773266,343.812167138665,328.699899656925,306.289959897133,263.967684584672,168.420479073826
"ENSB:cwZdit59ZYKcJUt",154.922780182067,72.6792838453859,139.620784378246,158.783021737416,112.762015626832,158.564640495421,108.761199199403,105.697451449922,66.641185113851
"ENSB:bG4XUWRi-9F2tGw",31.7491178680829,27.0977822814286,24.5818004257676,15.3195764872316,9.33138029581184,11.7472297185618,28.4179320003743,27.6328387544454,36.6458525468412
"ENSB:dVyjUp3yfIgXBza",219.341659114494,193.906829008182,216.500127361647,266.567827040038,306.199295243367,312.527732126219,254.603896988441,223.14526418229,212.405700556895
"ENSB:IIyZCKCwbsp2tbR",67.2880286766045,43.5991640020528,61.7316000998106,66.2634790176878,53.048453215175,57.4586260349089,76.1334011188283,57.8976486000183,59.328993397238
"ENSB:2Lz0x1LbJ_QvR88",834.235740976257,1339.48135232142,967.103458123339,2392.51417303441,2439.01925681407,2361.50433177676,2381.2303662769,2438.28525401209,3065.78637099193
"ENSB:476KM-f5Ik1sUU-",99.9126748056332,106.356294925449,95.5876374876039,81.0181649863201,88.2649290297483,68.6380780368843,91.8133779126766,95.5205144402541,70.0348788496912
"ENSB:2KEiIethgIfzJ-K",316.244206155443,149.284426832316,315.727399970556,315.715983770244,265.651786969732,289.301655988904,223.157048861284,224.097075076809,151.663748640516
"ENSB:GHWXN27YmfOZxyw",47.0890921988872,35.0103768505163,31.0004716645861,91.8795764353918,84.3845102099983,103.262813851113,142.538265054358,133.139374369885,143.585625055058
"ENSB:emqr3TfCgb1VAS_",190.906387638913,255.403546069749,190.160192171996,153.095060257747,145.860695721865,127.430691367156,164.354054989187,166.240732586166,222.722936828824
"ENSB:CCBMyR9hkAULcep",44.6705151646263,53.4063735928353,55.1980804866713,21.1936591439438,26.8887306432263,19.4059884140899,26.6708019972542,24.7910008076292,17.8055094770917
"ENSB:zb9X1rkjTNytbEY",17.6859638933476,9.86172123782396,13.6331343832143,9.77505767024086,8.35804762566031,8.89253025524735,19.2883447737897,11.9392729425248,12.5545246707175
"ENSB:AGd05lyfxe8Tbdn",29.9653870331855,31.5578335148262,28.5492147731481,16.3869372041267,34.7096420973175,27.2128531148249,18.3012791926923,19.4465939584761,23.0069928637519
"ENSB:U7mBVw-Sjdyyd12",51.1627855947618,33.7619165851277,47.0897412495806,48.4520554019609,23.2854655292334,40.4935206606555,32.0985612068629,25.7458843531198,36.9327008233303
"ENSB:knTBR_tR8oiGRos",200.126771081566,221.858864902453,194.314579969497,317.348413179927,292.762933626893,295.534606958035,359.822618556195,344.451883012591,385.42765600004
"ENSB:zYoFCdMRxKGSZr0",590.470183286502,461.241753453513,571.89336196858,759.316054514231,675.238654739285,719.91825132515,511.542336925418,461.047516092323,391.257626671035
